Subsective (Intersective),SYN Subsective (Intersective),Subsective (Non-Intersective),SYN Subsective (Non-Intersective),Plain Non-Subsective,SYN Plain Non-Subsective,Privative Non-Subsective,SYN Privative Non-Subsective,Ambiguous,SYN Ambiguous,Nouns,SYN Nouns
wild,feral,skilful,skilled,former,previous,artificial,fake,old,aged,student,learner
red,crimson,powerful,potent,alleged,suspected,counterfeit,forged,small,tiny,dog,canine
Canadian,North American,particular,specific,apparent,seeming,deputy,vice,big,large,potato,tater
depressed,melancholic,extreme,severe,arguable,debatable,ex-,former,,,story,narrative
square,cuboid,rare,uncommon,assumed,presumed,fabricated,forged,,,king,monarch
seasonal,periodic,unexpected,surprising,believed,assumed,fictional,fictitious,,,person,human
flamboyant,exuberant,,,disputed,doubted,hypothetical,supposed,,,chair,seat
vigorous,robust,,,doubtful,dubious,imaginary,imagined,,,occurence,happening
loud,cacophonous,,,erroneous,mistaken,mock,simulated,,,law,regulation
orange,peach,,,expected,predicted,mythical,fantastical,,,problem,difficulty
shy,timid,,,faulty,broken,past,prior,,,disaster,catastrophe
,,,,future,upcoming,phony,fake,,,statement,declaration
,,,,historic,legendary,spurious,bogus,,,,
,,,,impossible,unachievable,virtual,simulated,,,,
,,,,improbable,unlikely,,,,,,
,,,,likely,probable,,,,,,
,,,,ostensible,apparent,,,,,,
,,,,plausible,possible,,,,,,
,,,,potential,possible,,,,,,
,,,,proposed,suggested,,,,,,
,,,,putative,supposed,,,,,,
,,,,questionable,dubious,,,,,,
,,,,so-called,commonly-named,,,,,,
,,,,suspicious,dubious,,,,,,
,,,,theoretical,philosophical,,,,,,
,,,,uncertain,tentative,,,,,,
,,,,unsuccessful,failed,,,,,,
